Match,Chintu ki paltan,Gujarati Dhoklas,Jp212,Kush ALL STARs,Lovish,Rasgulla Rippers,Smityboy Panthers,Vrunds11,The Royals 2025
1,291.5,299,371.5,385.5,541.5,309.5,353.5,588.5,411.5
2,280.5,191,550.5,316,410.5,237.5,388.5,279.5,249.5
3,65.5,256,166,195.5,262.5,396.5,268.5,151.5,71.5
4,351.5,247,297,283.5,300,183,254.5,55.5,0
5,146.5,388.5,408,147.5,309.5,375.5,320.5,141.5,0
6,321.5,67.5,79.5,392,181,30,180,129.5,168
7,293.5,137,184,421,392,248,186,320,214.5
8,260.5,189,213.5,307.5,176,375.5,227,202.5,320
9,305,368.5,229,329.5,329,301,372,261,211
10,109.5,277.5,269.5,196.5,246,273.5,273.5,149.5,158.5
11,431,296,218.5,372,245.5,370.5,331,119.5,222
12,150,45.5,87.5,92.5,98,95,223,98.5,85
13,89.5,256.5,10,258.5,166.5,292,239.5,286.5,292.5
14,81.5,189,181.5,169,152,217,303,144,213.5
15,350,171,150,154.5,322.5,456,179,200.5,208.5
16,637.5,205.5,83,526.5,279,220,220,154.5,202
17,222.5,118,97.5,132.5,179.5,183.5,205.5,51,41.5
18,146,0,182.5,131,165,173.5,205,197,211
19,160.5,220.5,260.5,193.5,141.5,543,364,203.5,255
20,479.5,450.5,477.5,298.5,295.5,257.5,320.5,436.5,369.5
21,271,228.5,379,474.5,325,48,91,313.5,0
22,218.5,166,199.5,271.5,204.5,301,296,213.5,242.5
23,267.5,475.5,319,416.5,384.5,528.5,105.5,283,361.5
24,414.5,109,87.5,184.5,258.5,398,470.5,348,58
25,408,441,442.5,176.5,387,224.5,135,448,142
26,374,452.5,352.5,434,316,364,356,310.5,116
27,597.5,456.5,0,431.5,672,263.5,499.5,449,553.5
28,204,442.5,267,314,186,181.5,346.5,191,20
29,172,69.5,172,105,75,0,74.5,194,115.5
30,106,272,226,187,201,224,190,169,169
31,225,283.5,267,194,275,214,164,298,235
32,256.5,383.5,295,286,295,213,273.5,215.5,208.5
33,298,212.5,341,251.5,248.5,224.5,561,286.5,277.5
34,89.5,22,85.5,168.5,124.5,68,184.5,59.5,221.5
35,521,574,439,277,191,522,387,286,46
